,Title,Published_date,Views,Likes,Dislikes,Comments,Published_data,Month
0,Face and Eye Detection from Videos using HAAR Cascade Classifier,2019-01-19T13:35:06Z,29867,454,,27,2019-01-19,Jan
1,Face Recognition using open CV and VGG 16 Transfer Learning,2019-01-18T15:06:00Z,33555,473,,49,2019-01-18,Jan
2,Tutorial 11-Exploratory Data Analysis(EDA) of Titanic dataset,2019-01-17T17:34:36Z,326150,6191,,289,2019-01-17,Jan
3,Implementing a Spam classifier in python| Natural Language Processing,2019-01-14T14:48:21Z,115561,2350,,170,2019-01-14,Jan
4,Tutorial 44-Balanced vs Imbalanced Dataset and how to handle Imbalanced Dataset,2019-01-11T17:04:02Z,42619,944,,61,2019-01-11,Jan
5,"Confusion matrix, Precision, Recall| Data Science Interview questions",2019-01-10T18:58:55Z,29546,637,,42,2019-01-10,Jan
6,"CBSE to introduce artificial intelligence courses in classes 8, 9, 10",2019-01-06T06:37:14Z,1521,14,,2,2019-01-06,Jan
7,Covariance in Statistics,2019-01-05T17:12:02Z,137931,2919,,71,2019-01-05,Jan
8,Log Normal Distribution in Statistics,2019-01-05T13:27:02Z,142538,2120,,91,2019-01-05,Jan
9,Natural Language Processing|TF-IDF for Machine Learning| Text Prerocessing,2019-01-04T12:12:07Z,94006,2050,,84,2019-01-04,Jan
10,Gaussian distribution or Normal Distribution in statisctics,2019-01-03T16:47:35Z,119929,2304,,65,2019-01-03,Jan
11,Natural Language Processing|BagofWords,2019-01-03T15:23:31Z,102257,2085,,92,2019-01-03,Jan
12,Natural Language Processing|Lemmatization,2019-01-02T17:11:31Z,84343,1233,,46,2019-01-02,Jan
13,Natural Language Processing|Stemming,2019-01-01T17:28:24Z,104362,1730,,55,2019-01-01,Jan
14,Natural Language Processing|Tokenization,2019-01-01T17:28:05Z,196266,2990,,71,2019-01-01,Jan
15,Population vs Sample in Statistics,2018-12-31T08:20:57Z,197437,2202,,78,2018-12-31,Dec
16,How to select the best model using cross validation in python,2018-09-04T16:17:54Z,68703,1584,,79,2018-09-04,Sep
17,Computer Vision using Microsoft Cognitive Services for Images,2018-07-25T16:55:38Z,19253,208,,9,2018-07-25,Jul
18,Principle Component Analysis (PCA) using sklearn and python,2018-07-02T15:13:57Z,221942,3800,,158,2018-07-02,Jul
19,PySpark Tutorial for Beginners | Apache Spark with Python -Linear Regression Algorithm,2018-06-06T18:31:12Z,42195,638,,42,2018-06-06,Jun
20,Creating a Dataset and training an Artificial Neural Network with Keras,2018-02-25T07:22:20Z,27497,265,,34,2018-02-25,Feb
21,Artificial Neural Network Intuition,2018-02-24T16:42:52Z,41613,275,,7,2018-02-24,Feb
22,Create an Artifical Neural Network using Keras in 5 minutes,2018-02-22T17:50:53Z,10134,103,,19,2018-02-22,Feb
23,Important libraries used in python Data Science- Machine Learning Tutorial with Python and R-Part 4,2017-11-26T07:48:27Z,22972,199,,15,2017-11-26,Nov
24,Anaconda installation with Packages- Machine Learning Tutorial with Python and R-Part 3,2017-11-26T06:16:34Z,79861,371,,39,2017-11-26,Nov
25,What is Supervised Machine Learning- Machine Learning Tutorial with Python and R-Part 2,2017-11-26T04:50:08Z,39139,430,,16,2017-11-26,Nov
26,What is Machine Learning in Data Science- Machine Learning Tutorial with Python and R-Part 1,2017-11-25T12:27:20Z,161951,992,,51,2017-11-25,Nov
27,Maeri unplugged by Krish and band,2014-06-01T07:20:59Z,6462,161,,18,2014-06-01,Jun
